Genre,Style,Category,Variation,Video
Waltzes,Waltz & Reverse Waltz,Shadow Position,Face Loop Exit,https://www.youtube.com/watch?v=NJmhvsP6Wrc
Waltzes,Waltz & Reverse Waltz,Wedding Cake,Free Spin Entrance,https://www.youtube.com/watch?v=hfMo5Sy4X9Y
Waltzes,Waltz & Reverse Waltz,Wedding Cake,Wedding Cake,https://www.youtube.com/watch?v=YfwLFTDl8pI
Waltzes,Waltz & Reverse Waltz,Wedding Cake,Lowered Wedding Cake,https://www.youtube.com/watch?v=mBGjEAEBa2U
Waltzes,Waltz & Reverse Waltz,Wedding Cake,Exploded Wedding Cake,https://www.youtube.com/watch?v=5A8ogzs4-PE
Waltzes,Waltz & Reverse Waltz,Wedding Cake,Blooming Wedding Cake,https://www.youtube.com/watch?v=97EiiChiFDk
Waltzes,Waltz & Reverse Waltz,Wedding Cake,Left Hands Floating,https://www.youtube.com/watch?v=Ea_z0EbJfe4
Waltzes,Waltz & Reverse Waltz,Wedding Cake,Wedding Cake Inside Turn,https://www.youtube.com/watch?v=XVHDav60v9c
Waltzes,Waltz & Reverse Waltz,Wedding Cake,Face Loop Exit,https://www.youtube.com/watch?v=Ir8k_ah5UTw
Waltzes,Waltz & Reverse Waltz,Wedding Cake,Inside Turn Exit,https://www.youtube.com/watch?v=QmF4o4U9K6c
Waltzes,Waltz & Reverse Waltz,Cradle Position,Follow's Wrap,https://www.youtube.com/watch?v=g7DWeALVsL0
Waltzes,Waltz & Reverse Waltz,Cradle Position,Cradle Wheel,https://www.youtube.com/watch?v=3KetTbEpEBQ
Waltzes,Waltz & Reverse Waltz,Cradle Position,Roll Out of Cradle,https://www.youtube.com/watch?v=7LJeNlD8iSo
Waltzes,Waltz & Reverse Waltz,Cradle Position,Roll into Cradle,https://www.youtube.com/watch?v=uWvF6mBCOqo
Waltzes,Waltz & Reverse Waltz,Cradle Position,Cradle Yo Yo,https://www.youtube.com/watch?v=JPyKgJNNiNY
Waltzes,Waltz & Reverse Waltz,Cradle Position,Lead's Wrap,https://www.youtube.com/watch?v=nPSPLBlHdQE
Waltzes,Waltz & Reverse Waltz,Cradle Position,Lead's Cradle Wheel,https://www.youtube.com/watch?v=-4IdAlZYLNQ
Waltzes,Waltz & Reverse Waltz,Cradle Position,"Lead's Wrap, Follow's Inside Turn",https://www.youtube.com/watch?v=d800SqLBHOI
Waltzes,Waltz & Reverse Waltz,Cradle Position,Double Turn from Cradle,https://www.youtube.com/watch?v=LO8_rSQsnoM
Waltzes,Waltz & Reverse Waltz,Cradle Position,Double Unwind from Cradle,https://www.youtube.com/watch?v=u593ywZ7Vgg
Waltzes,Waltz & Reverse Waltz,Cradle Position,Deney Terrio's Double Unwind from Cradle,https://www.youtube.com/watch?v=RDw2eeTOR9E
Waltzes,Waltz & Reverse Waltz,Cinderella Waltz Variations,Sway,https://www.youtube.com/watch?v=R_yAdhehr9E
Waltzes,Waltz & Reverse Waltz,Cinderella Waltz Variations,Varsovienne (Two Ways),https://www.youtube.com/watch?v=26bO4V3dl5g
Waltzes,Waltz & Reverse Waltz,Cinderella Waltz Variations,Roll Out to Skater's Walk,https://www.youtube.com/watch?v=peB40hdiXJE
Waltzes,Waltz & Reverse Waltz,Cinderella Waltz Variations,Roll Out to Skater's Wheel,https://www.youtube.com/watch?v=z1z3xSFCvzw
Waltzes,Waltz & Reverse Waltz,Cinderella Waltz Variations,R-in-R Prayer Wheel,https://www.youtube.com/watch?v=XVzFeGL7DP0
Waltzes,Waltz & Reverse Waltz,Cinderella Waltz Variations,Outside Turn to Matador Wheel,https://www.youtube.com/watch?v=tMpejl_t2gM
Waltzes,Waltz & Reverse Waltz,Inspired by 19th Century Polka,Vis à Vis,https://www.youtube.com/watch?v=ee_DxCeKrk0
Waltzes,Waltz & Reverse Waltz,Inspired by 19th Century Polka,Pursuit,https://www.youtube.com/watch?v=y8Nsh1mx9II
Waltzes,Waltz & Reverse Waltz,Inspired by 19th Century Polka,Pas D'Allemande,https://www.youtube.com/watch?v=RblDaKEiJR4
Waltzes,Waltz & Reverse Waltz,Inspired by 19th Century Polka,Coquette (Love Chase),https://www.youtube.com/watch?v=UTlnX4q8Z8o
Waltzes,Waltz & Reverse Waltz,Inspired by 19th Century Polka,Follow's Initiative: Coquette (Love Chase),https://www.youtube.com/watch?v=L3_5DBIqSbE
Waltzes,Waltz & Reverse Waltz,Pivots,Single Canter Pivot (2 pivots),https://www.youtube.com/watch?v=GDsdk0CrvTk
Waltzes,Waltz & Reverse Waltz,Pivots,"Canter, Waltz, Canter, Waltz (ABAB)",https://www.youtube.com/watch?v=0TF3L6zk-oo
Waltzes,Waltz & Reverse Waltz,Pivots,"Waltz, Waltz, Canter, Waltz (AABA)",https://www.youtube.com/watch?v=bKGtXADzKS4
Waltzes,Waltz & Reverse Waltz,Pivots,Three Quick Pivots (3 Pivots),https://www.youtube.com/watch?v=_A5JfFZNsbU
Waltzes,Waltz & Reverse Waltz,Pivots,Double Canter Pivot (4 Pivots),https://www.youtube.com/watch?v=umZCxN6eRXg
Waltzes,Waltz & Reverse Waltz,Pivots,"Canter Pivot, Three Quick Pivots (5 Pivots)",https://www.youtube.com/watch?v=nZqEkXQRcNc
Waltzes,Waltz & Reverse Waltz,Pivots,Six Quick Pivots (6 Pivots),https://www.youtube.com/watch?v=y_OmVkvAGfE
Waltzes,Waltz & Reverse Waltz,Fancy Footwork,Cross-Step Redowa,https://www.youtube.com/watch?v=t8JcDATnMio
Waltzes,Waltz & Reverse Waltz,Fancy Footwork,Cross-Step Redowa (Waterfall Version),https://www.youtube.com/watch?v=j8N8IfWy3qM
Waltzes,Waltz & Reverse Waltz,Endings,Underarm Turn to a Bow,https://www.youtube.com/watch?v=DzHhrzhFEdY
Waltzes,Waltz & Reverse Waltz,Endings,Underarm Turn to a Genuflection,https://www.youtube.com/watch?v=UAgaA391H70
Waltzes,Waltz & Reverse Waltz,Endings,Sliding in to Home Base,https://www.youtube.com/watch?v=QQjU8gDDsTY
Waltzes,Waltz & Reverse Waltz,Endings,Check into a Dip,https://www.youtube.com/watch?v=HDValK2Bfio
Waltzes,Waltz & Reverse Waltz,Endings,Free Spin Dip,https://www.youtube.com/watch?v=tSAPQ7zLDEk
Waltzes,Waltz & Reverse Waltz,Endings,"Windows, Valentino Dip",https://www.youtube.com/watch?v=QENj_fVn_Fk
Waltzes,Waltz & Reverse Waltz,Endings,"Double Windows, Valentino Dip",https://www.youtube.com/watch?v=HVqhKBKtfQM
Waltzes,Waltz & Reverse Waltz,Super Speed Waltzing,Pivot Version,https://www.youtube.com/watch?v=D13JrUCZS3A
Waltzes,Waltz & Reverse Waltz,Super Speed Waltzing,Waltz Walk,https://www.youtube.com/watch?v=hPs9sJFTIdc
Waltzes,Waltz & Reverse Waltz,Super Speed Waltzing,Hopped Pivots,https://www.youtube.com/watch?v=mG58c-NCpvo
Waltzes,Waltz & Reverse Waltz,Super Speed Waltzing,Double Boston,https://www.youtube.com/watch?v=RekWfh3iP5M
Waltzes,Waltz & Reverse Waltz,Super Speed Waltzing,Waltz Chassé,https://www.youtube.com/watch?v=DA0d4VMt9js
Waltzes,Waltz & Reverse Waltz,Super Speed Waltzing,Chassé Waltz,https://www.youtube.com/watch?v=DA0d4VMt9js
Waltzes,Waltz & Reverse Waltz,Super Speed Waltzing,Chassé Waltz (Slower),https://www.youtube.com/watch?v=8wXmUra5VKM
Waltzes,Waltz & Reverse Waltz,Basics,Long Shot,https://www.youtube.com/watch?v=RiCLaNJrLiQ
Waltzes,Waltz & Reverse Waltz,Basics,Close Up,https://www.youtube.com/watch?v=DFZ-ixwFUzs
Waltzes,Waltz & Reverse Waltz,Basics,Turning Basic (Pivot Version),https://www.youtube.com/watch?v=2Vs3qXAi9vw
Waltzes,Waltz & Reverse Waltz,Basics,Turning Basic (Side Step Version),https://www.youtube.com/watch?v=TfwSDN7bPac
Waltzes,Waltz & Reverse Waltz,Inside Turn (on 4),Inside Turn (on 4),https://www.youtube.com/watch?v=5H4hgrSKYoY
Waltzes,Waltz & Reverse Waltz,Inside Turns (on 1),Inside Turn (on 1),https://www.youtube.com/watch?v=MfYtkh28sns
Waltzes,Waltz & Reverse Waltz,Inside Turns (on 1),Free Spin (on 1),https://www.youtube.com/watch?v=vifSyKwwR4M
Waltzes,Waltz & Reverse Waltz,Inside Turns (on 1),Double Inside Turn (on 1),https://www.youtube.com/watch?v=387DhByh92I
Waltzes,Waltz & Reverse Waltz,Inside Turns (on 1),"Inside Turn, Free Spin (on 1)",https://www.youtube.com/watch?v=d-ZkkAXDJV8
Waltzes,Waltz & Reverse Waltz,Rotary to Reverse,Follow Backing,https://www.youtube.com/watch?v=ufCk1mV-1-U
Waltzes,Waltz & Reverse Waltz,Rotary to Reverse,Lead Backing,https://www.youtube.com/watch?v=VzXg52cS1n4
Waltzes,Waltz & Reverse Waltz,Reverse to Rotary,Follow Backing,https://www.youtube.com/watch?v=MgqiNPs0B2s
Waltzes,Waltz & Reverse Waltz,Reverse to Rotary,Lead Backing,https://www.youtube.com/watch?v=lun3WD0beAk
Waltzes,Waltz & Reverse Waltz,Reverse to Rotary,Cross-Body Inside Turn to Pivaloop Free Spin,https://www.youtube.com/watch?v=inOyjeL2FYI
Waltzes,Cross-Step Waltz,Basics,Basic,https://www.youtube.com/watch?v=eh42cf9E7o8
Waltzes,Cross-Step Waltz,Basics,Slightly Turning Basic,https://www.youtube.com/watch?v=5C-1WKqk4u4
Waltzes,Cross-Step Waltz,Basics,Turning Basic,https://www.youtube.com/watch?v=-lktp_Ans6g
Waltzes,Cross-Step Waltz,Basics,Turning Basic (Waterfall),https://www.youtube.com/watch?v=X_Y4VjsdnbM
Waltzes,Cross-Step Waltz,Basics,Orbits,https://www.youtube.com/watch?v=DoVtnW8QS00
Waltzes,Cross-Step Waltz,Basics,Jedi Waltzing,https://www.youtube.com/watch?v=SOoUCHEZfwE
Waltzes,Cross-Step Waltz,Zig Zag,Zig Zag,https://www.youtube.com/watch?v=QJs2O50FUf4
Waltzes,Cross-Step Waltz,Zig Zag,Lead's Back Ochos,https://www.youtube.com/watch?v=T3sNXvp0Qeo
Waltzes,Cross-Step Waltz,Waltz Walk,Waltz Walk,https://www.youtube.com/watch?v=qmI3dhCTdN4
Waltzes,Cross-Step Waltz,Follow's Solo,Follow's Solo,https://www.youtube.com/watch?v=z8_hryooeLw
Waltzes,Cross-Step Waltz,Follow's Solo,Touches Styling,https://www.youtube.com/watch?v=8hgPfCKgiXU
Waltzes,Cross-Step Waltz,Follow's Solo,Kicks Styling,https://www.youtube.com/watch?v=ePY5Ml0F3uQ
Waltzes,Cross-Step Waltz,Follow's Solo,Sweeps Styling,https://www.youtube.com/watch?v=EAiex7AKFeQ
Waltzes,Cross-Step Waltz,Follow's Solo,Feather Stitch Styling,https://www.youtube.com/watch?v=0bp3UxqYDWA
Waltzes,Cross-Step Waltz,Follow's Solo,Follow's Solo to Direction Change,https://www.youtube.com/watch?v=IOB88L5dfr8
Waltzes,Cross-Step Waltz,He Goes,He Goes (Lead's Underarm Turn),https://www.youtube.com/watch?v=fd4UKWEn_Dw
Waltzes,Cross-Step Waltz,He Goes,"He Goes, She Goes",https://www.youtube.com/watch?v=Z60FdGLt9XI
Waltzes,Cross-Step Waltz,He Goes,"He Goes, Free Spin (Frisbee)",https://www.youtube.com/watch?v=gV-2XPUSjkg
Waltzes,Cross-Step Waltz,He Goes,"He Goes, Rollaway",https://www.youtube.com/watch?v=X_koWzy8GT4
Waltzes,Cross-Step Waltz,He Goes,"He Goes, She Goes, She Goes, She Goes",https://www.youtube.com/watch?v=uQUFU6JKf8E
Waltzes,Cross-Step Waltz,He Goes,"He Goes, Double Inside Turn, Triple Outside Turn",https://www.youtube.com/watch?v=x11vHzfbeb0
Waltzes,Cross-Step Waltz,He Goes,"He Goes, Double Inside Turn, Double Outside Turn and Free Spin",https://www.youtube.com/watch?v=-dUPi1riafY
Waltzes,Cross-Step Waltz,Short Grapevine,Grapevine Underarm Turn,https://www.youtube.com/watch?v=L0VXH-TSeZw
Waltzes,Cross-Step Waltz,Short Grapevine,Grapevine Free Spin,https://www.youtube.com/watch?v=9gttRSwExvU
Waltzes,Cross-Step Waltz,Short Grapevine,Grapevine Free Spin (Two Hands),https://www.youtube.com/watch?v=E8mc95hMT_s
Waltzes,Cross-Step Waltz,Short Grapevine,Chained Grapevine Turns,https://www.youtube.com/watch?v=9-8arAuNK1U
Waltzes,Cross-Step Waltz,Short Grapevine,Grapevine Underarm Turn Sandwich,https://www.youtube.com/watch?v=SRbMXDq17JY
Waltzes,Cross-Step Waltz,Short Grapevine,Eighteen Count Pivoting Grapevine,https://www.youtube.com/watch?v=nW-8mAplEKY
Waltzes,Cross-Step Waltz,Long Grapevine,"Long Grapevine, Double Outside Turn",https://www.youtube.com/watch?v=LcCMQtasI2w
Waltzes,Cross-Step Waltz,Long Grapevine,"Long Grapevine, Outside Turn and Free Spin",https://www.youtube.com/watch?v=r8aBXQqJjbc
Waltzes,Cross-Step Waltz,Long Grapevine,"Long Grapevine, Inside Turn, Tuck Outside Turn",https://www.youtube.com/watch?v=a3-YETGQAls
Waltzes,Cross-Step Waltz,Long Grapevine,"Long Grapevine, Inside Turn, Free Spin",https://www.youtube.com/watch?v=vBQa62CQycQ
Waltzes,Cross-Step Waltz,Long Grapevine,"Long Grapevine, Outside Turn, Inside Turn, Outside Turn",https://www.youtube.com/watch?v=nW-8mAplEKY
Waltzes,Cross-Step Waltz,Long Grapevine,"Long Grapevine, Double Inside Turn, Double Outside Turn and Free Spin",https://www.youtube.com/watch?v=3bjrP3HzrkA
Waltzes,Cross-Step Waltz,Swingout,Swingout,https://www.youtube.com/watch?v=T7xQDnV9E8s
Waltzes,Cross-Step Waltz,Swingout,Traveling Swingout,https://www.youtube.com/watch?v=DlF5H-b38tI
Waltzes,Cross-Step Waltz,Swingout,"Free Spin to Pivots, Outside Turn",https://www.youtube.com/watch?v=qp1nm_sxceA
Waltzes,Cross-Step Waltz,Inside Turn (on 2),"Inside Turn, Grapevine Recovery",https://www.youtube.com/watch?v=cdgAXK0-0j0
Waltzes,Cross-Step Waltz,Inside Turn (on 2),"Inside Turn, Reverse Pivot",https://www.youtube.com/watch?v=gA0jG3Syb70
Waltzes,Cross-Step Waltz,Inside Turn (on 2),Chained Inside and Outside Turns,https://www.youtube.com/watch?v=sc8DZz21YHI
Waltzes,Cross-Step Waltz,Inside Turn (on 2),Magic Wand,https://www.youtube.com/watch?v=R7_32HSQYmo
Waltzes,Cross-Step Waltz,Inside Turn (on 2),"Double Inside Turn, Double Outside Turn",https://www.youtube.com/watch?v=yYoFpc61LUc
Waltzes,Cross-Step Waltz,Inside Turn (on 2),"Double Inside Turn, Outside Turn and Free Spin",https://www.youtube.com/watch?v=IqSHspx9FEw
Waltzes,Cross-Step Waltz,Inside Turn (on 2),Halo Frisbee,https://www.youtube.com/watch?v=nVbSWCRh3UE
Waltzes,Cross-Step Waltz,Inside Turn (on 2),Halo Frisbee (Swingout Hands),https://www.youtube.com/watch?v=87aNy-ZysZc
Waltzes,Cross-Step Waltz,Inside Turn (on 2),Halo Rollaway,https://www.youtube.com/watch?v=ZpVu-YMJDWk
Waltzes,Cross-Step Waltz,Inside Turn (on 2),Halo Parallel Free Spins,https://www.youtube.com/watch?v=d_co-bs_Mno
Waltzes,Cross-Step Waltz,Inside Turn (on 2),Double Inside Turn to Grapevine Pivot,https://www.youtube.com/watch?v=5mnyRH37dEo
Waltzes,Cross-Step Waltz,Cradle,"Cradle, Outside Turn",https://www.youtube.com/watch?v=xRhiHZEofQs
Waltzes,Cross-Step Waltz,Cradle,"Cradle, Double Outside Turn",https://www.youtube.com/watch?v=gQnBO9I0BVM
Waltzes,Cross-Step Waltz,Cradle,"Cradle, Double Unwind",https://www.youtube.com/watch?v=p459-itZznw
Waltzes,Cross-Step Waltz,Cradle,"Cradle, Deney Terrio Double Unwind",https://www.youtube.com/watch?v=9Fs8N8b4vnE
Waltzes,Cross-Step Waltz,Cradle,"Cradle, Outside Turn and Free Spin",https://www.youtube.com/watch?v=tfhDZgVEJEc
Waltzes,Cross-Step Waltz,Cradle,Cradle Lunge,https://www.youtube.com/watch?v=QDS1UovNMCs
Waltzes,Cross-Step Waltz,Cross-Body Lead,Molinete,https://www.youtube.com/watch?v=7vvGSOc3xVs
Waltzes,Cross-Step Waltz,Cross-Body Lead,Corkscrew Molinete,https://www.youtube.com/watch?v=HCSu_Qim_IQ
Waltzes,Cross-Step Waltz,Cross-Body Lead,"Cross-Body Inside Turn, Pivaloop Free Spin",https://www.youtube.com/watch?v=9IeUxmpTI24
Waltzes,Cross-Step Waltz,Cross-Body Lead,"Cross-Body Inside Turn, Sextuple Outside Turn",https://www.youtube.com/watch?v=SW6ingSNAqQ
Waltzes,Cross-Step Waltz,Pivots,"Pivot, Outside Turn",https://www.youtube.com/watch?v=W2zd0Dqzg-w
Waltzes,Cross-Step Waltz,Pivots,"Pivot, Free Spin",https://www.youtube.com/watch?v=4NTLFKcqFL4
Waltzes,Cross-Step Waltz,Pivots,"Pivot, Rollaway",https://www.youtube.com/watch?v=zkG4dCqtIgc
Waltzes,Cross-Step Waltz,Pivots,Chained Pivot Rollaways,https://www.youtube.com/watch?v=0BYU8BHLsTU
Waltzes,Cross-Step Waltz,Pivots,Pivot Variation Combination,https://www.youtube.com/watch?v=CtRml4N8XmE
Waltzes,Cross-Step Waltz,Pivots,Tripled Single Pivots,https://www.youtube.com/watch?v=NEOwJr0us9c
Waltzes,Cross-Step Waltz,Pivots,Trouble Step,https://www.youtube.com/watch?v=I-FU2IftxUQ
Waltzes,Cross-Step Waltz,Waterfall Grapevine,"Waterfall Grapevine, Outside Turn",https://www.youtube.com/watch?v=DKvC8IDodUw
Waltzes,Cross-Step Waltz,Waterfall Grapevine,"Waterfall Grapevine, Inside Turn",https://www.youtube.com/watch?v=39juCSzKSBI
